modelo,fabricacao,quantidade,quantidade_total
FIORINO FURGAO WORK. HARD 1.4,2020,1,5
HILUX SW4 SRX DIAMO. 4X4 2.8 T,2020,1,5
ECOSPORT TITANIUM 2.0 16V FLEX,2013,1,5
CG 125 TITAN-KS,2000,1,5
Celta LT 1.0 MPFI 8V FlexP. 5p,2013,1,5
HR-V EXL 1.8 FLEXONE 16V   AUT,2017,1,5
VIRTUS HIGHLINE 200 TSI 1.0 FL,2021,1,5
XRE 190 ADVENTURE FLEX,2021,1,5
Range Rover EVOQUE Pure Tech 2.0 Aut. 5p,2014,1,5
CRUZE LTZ 1.4 16V TURBO FLEX 4,2017,1,5
ix35 2.0 16V 170cv 2WD aut,2011,1,5
RENEGADE SPORT 1.8 4X2 FLEX 16,2019,1,5
CLIO 1.0 16V HI-FLEX,2011,1,5
HR-V EXL 1.8 FLEXONE 16V   AUT,2020,1,5
MONTANA LS 1.4 ECONOFLEX,2018,1,5
ONIX SEDAN PLUS LT 1.0 12V 4P,2021,1,5
YARIS XS SEDAN 1.5 FLEX 16V 4P,2019,1,5
ONIX HATCH PREM. 1.0 12V TB FL,2019,1,5
PRISMA SEDAN JOY 1.0 FLEX,2017,1,5
Palio ATTRACTIVE 1.0 EVO Fire Flex 8v 5p,2013,1,5
Ka 1.0 SE TiVCT Flex 5p,2018,1,5
SANDERO EXPRESSION 1.6 8V HI-F,2012,1,5
FIESTA SEDAN SE 1.6 8V FLEX,2013,1,5
HB20 PREMIUM 1.6 FLEX,2013,1,5
HR-V EX 1.8 Flexone 16V 5p Aut.,2015,1,5
Fiorino Furgão Work. HARD 1.4 Flex 8V 2p,2017,1,5
SANDERO EXPRESSION 1.0 16V HI-,2012,1,5
Range R.EVOQUE Dynamic 2.0 Aut 5p,2012,1,5
PRISMA  Sed. LT  1.4 8V Econof,2012,1,5
UP! MOVE 1.0 FLEX 12V,2014,1,5
COMPASS S 2.0 4x4 TB 16V Aut.,2021,1,5
DUSTER DYNAMIQUE 1.6 16V HI-FL,2014,1,5
Fiorino Furg.1.3 Fire Flex,2009,1,5
COMPASS LIMITED 2.0 4X4 DIESEL,2018,1,5
TORO FREEDOM 1.8 16V FLEX AUT,2020,1,5
HR 2.5 TCI Diesel (RD,2010,1,5
Palio ELX 1.0 mpi Fire 16v 4p (25 anos),2002,1,5
HB20S EVOLUTION 1.0 TB FLEX 12,2020,1,5
KA 1.5 16V FLEX,2015,1,5
Corsa Wind 1.0 EFI 2p,2000,1,5
Ka 1.0 SE TiVCT Flex 5p,2015,1,5
Fiesta S 1.0 8V Flex 5p,2014,1,5
UNO VIVACE CELEB. 1.0 EVO FIRE,2012,1,5
HB20 EVOLUTION 1.0 FLEX 12V ME,2022,1,5
Clio Hi-Flex 1.0 16V 3p,2010,1,5
HB20X DIAMOND 1.6 FLEX 16V AUT,2021,1,5
AMAROK HIGHLINE CD D 2.0 16V T,2012,1,5
UNO VIVACE 1.0 EVO Fire Flex 8V 5p,2014,1,5
HB20 COMFORT PLUS 1.0 FLEX,2018,1,5
IX 35 2.0 16V 2WD FLEX,2014,1,5
Uno Mille 1.0 Fire Flex 2p,2008,1,5
UNO WAY 1.0 EVO Fire Flex 8V 5p,2014,1,5
TRACKER LTZ 1.8 16V Flex 4x2 Aut.,2015,1,5
XTZ 250 LANDER 249cc,2006,1,5
Q3 2.0 TFSI Quat. 170/180cv S-,2014,1,5
Civic Sedan TOURING 1.5 Turbo 16V Aut.4p,2018,1,5
Palio ELX 1.0 Fire,2004,1,5
PALIO 1.0 FIRE FLEX,2008,1,5
RENEGADE LONGITUDE 1.8 4X2 FLE,2019,1,5
VOYAGE 1.6 MSI FLEX 8V 4P,2018,1,5
PRISMA SEDAN MAXX 1.4 ECONOFLE,2010,1,5
GOL 1.6 MSI FLEX 8V 5P,2020,1,5
HR 2.5 TCI Diesel (RD,2015,1,5
DELIVERY EXPRESS 2P (DIESEL)(E,2019,1,5
TORO VOLCANO 2.0 16V 4X4 TB DI,2020,1,5
Fit LX 1.4 16V Mec,2007,1,5
STRADA 1.4 MPI FIRE FLEX,2010,1,5
HILUX SR D4-D 3.0 CD 4X4 TB D,2015,1,5
XTZ 150 E CROSSER,2014,1,5
AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2014,1,5
TIGER 900 GT PRO,2021,1,5
FIT TWIST 1.5 FLEX,2013,1,5
CRETA ATTITUDE  1.6 16V AT FLE,2020,1,5
Fiorino Furg.1.3,2011,1,5
LIVINA SL 1.8 16V FLEX,2011,1,5
Saveiro Startline 1.6 T.Flex 8V,2014,1,5
COMPASS LIMITED 2.0 4X2 FLEX 1,2019,1,5
KICKS SV 1.6 16V FLEXSTAR AUT.,2020,1,5
HB20 COMFORT PLUS 1.0 FLEX,2014,1,4
