seguradora_id,data_proposta,data_finalizada,modelo,fabricante,fabricacao,ano_modelo,case
73,2023-07-31,2023-08-01,"","","","",Reprovado
2,2023-07-31,2023-08-01,VERSYS-X 300,KAWASAKI,2018,2018,Aprovado
2,2023-07-31,2023-08-01,XTZ 250 TENERE,YAMAHA,2012,2012,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-07-31,CG 160 FAN ESDi FLEXONE,Honda,2016,2016,Aprovado
2,2023-07-31,2023-07-31,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,GM - Chevrolet,2019,2019,Aprovado
2,2023-07-31,2023-08-01,FUSCA 1300,VW - VolksWagen,1974,1974,Aprovado
2,2023-07-31,2023-07-31,Gol 1000 Mi 2p,VW - VolksWagen,1997,1998,Aprovado
2,2023-07-31,2023-08-01,Focus 2.0 16V Flex Aut,Ford,2009,2009,Aprovado
2,2023-07-31,2023-07-31,NXR 160 Bros ESD FLEXone,Honda,2015,2015,Aprovado
2,2023-07-31,2023-08-01,YS 250 FAZER,YAMAHA,2014,2014,Aprovado
61,2023-07-31,2023-08-01,"","","","",Aprovado
67,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-07-31,CG 125 FAN ES,Honda,2012,2012,Aprovado
2,2023-07-31,2023-07-31,VULCAN S 650,KAWASAKI,2018,2018,Aprovado
2,2023-07-31,2023-07-31,ONIX HATCH ACTIV 1.4 8V Flex 5p Mec.,GM - Chevrolet,2018,2019,Aprovado
2,2023-07-31,2023-07-31,VT 600 C SHADOW,Honda,2002,2002,Aprovado
2,2023-07-31,2023-07-31,CG 160 TITAN FLEXone,Honda,2018,2018,Aprovado
2,2023-07-31,2023-07-31,TIGER 800 XRx,TRIUMPH,2018,2018,Aprovado
2,2023-07-31,2023-07-31,HB20 Evolution 1.0 Flex 12V Mec.,Hyundai,2021,2022,Aprovado
2,2023-07-31,2023-07-31,Fox City 1.0 Mi 4p,VW - VolksWagen,2004,2005,Aprovado
2,2023-07-31,2023-08-01,XTZ 250 LANDER 249cc,YAMAHA,2018,2019,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-07-31,POP 110i,Honda,2021,2021,Aprovado
2,2023-07-31,2023-08-01,HB20S C.Plus 1.6 16V Mec,Hyundai,2015,2015,Aprovado
2,2023-07-31,2023-07-31,EN 125 Yes,Suzuki,2009,2009,Aprovado
2,2023-07-31,2023-07-31,S8-12,MotoChefe,2022,2022,Aprovado
2,2023-07-31,2023-07-31,NXR 150 Bros ESD MIX Flex,Honda,2014,2014,Aprovado
2,2023-07-31,2023-08-01,Hilux CD SR 4x2 2.7 16V Flex aut,Toyota,2013,2013,Aprovado
2,2023-07-31,2023-07-31,NXR 160 Bros ESDD FLEXone,Honda,2022,2022,Aprovado
2,2023-07-31,2023-07-31,F 850 GS Premium,BMW,2021,2021,Aprovado
2,2023-07-31,2023-07-31,FZ25 250 FAZER FLEX,YAMAHA,2023,2023,Aprovado
2,2023-07-31,2023-07-31,XTZ 250 LANDER 249cc,YAMAHA,2022,2022,Aprovado
2,2023-07-31,2023-08-01,XJ6 N,YAMAHA,2012,2012,Aprovado
2,2023-07-31,2023-07-31,XTZ 150 CROSSER S FLEX,YAMAHA,2021,2022,Aprovado
2,2023-07-31,2023-08-01,HR-V LX 1.8 Flexone 16V 5p Aut.,Honda,2019,2020,Aprovado
2,2023-07-31,2023-07-31,XRE 300 Flex,Honda,2014,2015,Aprovado
2,2023-07-31,2023-07-31,CG 160 FAN Flex,Honda,2022,2023,Aprovado
2,2023-07-31,2023-07-31,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,Toyota,2017,2017,Aprovado
73,2023-07-31,2023-07-31,"","","","",Reprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,XY 125 JET,SHINERAY,2023,2024,Aprovado
2,2023-07-31,2023-07-31,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,Toyota,2022,2022,Aprovado
2,2023-07-31,2023-07-31,F 750 GS Sport,BMW,2019,2019,Aprovado
73,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-07-31,CG 160 TITAN FLEXone,Honda,2020,2020,Aprovado
2,2023-07-31,2023-07-31,CG 125 FAN KS,Honda,2014,2014,Aprovado
2,2023-07-31,2023-08-01,YS 150 Fazer SED,YAMAHA,2021,2022,Aprovado
2,2023-07-31,2023-07-31,NMAX 160,YAMAHA,2017,2018,Aprovado
2,2023-07-31,2023-07-31,2500 LARAMIE SLT 6.7 TDI  CD 4x4 Diesel,RAM,2016,2017,Aprovado
2,2023-07-31,2023-07-31,Passat Highline 2.0 TSI 220cv Tip.,VW - VolksWagen,2018,2019,Aprovado
2,2023-07-31,2023-08-01,FZ25 250 FAZER FLEX,YAMAHA,2017,2018,Aprovado
2,2023-07-31,2023-07-31,BIZ 125 Flexone,Honda,2020,2021,Aprovado
2,2023-07-31,2023-08-01,ELITE 125,Honda,2023,2023,Aprovado
2,2023-07-31,2023-07-31,CB TWISTER 250cc,Honda,2022,2022,Aprovado
2,2023-07-31,2023-07-31,CG 160 FAN Flex,Honda,2021,2022,Aprovado
2,2023-07-31,2023-07-31,POP 110i,Honda,2021,2021,Aprovado
2,2023-07-31,2023-07-31,FZ15 150 FAZER FLEX,YAMAHA,2022,2023,Aprovado
2,2023-07-31,2023-08-01,CG 160 Start,Honda,2023,2023,Aprovado
2,2023-07-31,2023-07-31,CG 160 TITAN FLEXone,Honda,2023,2023,Aprovado
2,2023-07-31,2023-08-01,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p,Fiat,2021,2021,Aprovado
2,2023-07-31,2023-07-31,MOBI Like 1.0 Fire Flex 5p.,Fiat,2019,2019,Aprovado
2,2023-07-31,2023-07-31,Fiorino Pick-Up 1.5 i.e.,Fiat,1995,1995,Aprovado
2,2023-07-31,2023-07-31,XRE 190,Honda,2023,2023,Aprovado
2,2023-07-31,2023-07-31,ASX 2.0 16V 4x4 160cv Aut.,Mitsubishi,2016,2016,Aprovado
2,2023-07-31,2023-07-31,CG 125 FAN ES,Honda,2011,2011,Aprovado
2,2023-07-31,2023-07-31,YS 250 FAZER L. Edition,YAMAHA,2007,2008,Aprovado
2,2023-07-31,2023-07-31,NEO Automatic 125cc,YAMAHA,2023,2024,Aprovado
2,2023-07-31,2023-07-31,Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut,Toyota,2008,2009,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-07-31,NXR 160 Bros ESDD FLEXone,Honda,2015,2016,Aprovado
2,2023-07-31,2023-08-01,VULCAN S 650,KAWASAKI,2023,2023,Aprovado
2,2023-07-31,2023-07-31,BIZ 125 EX Flex,Honda,2014,2014,Aprovado
2,2023-07-31,2023-08-01,LEAD 110,Honda,2015,2015,Aprovado
2,2023-07-31,2023-08-01,Citycom.300i,DAFRA,2015,2015,Aprovado
2,2023-07-31,2023-07-31,NMAX 160,YAMAHA,2018,2019,Aprovado
2,2023-07-31,2023-08-01,Toro Freedom 1.8 16V Flex Aut.,Fiat,2017,2017,Aprovado
2,2023-07-31,2023-07-31,BIZ 125 ES,Honda,2011,2011,Aprovado
2,2023-07-31,2023-07-31,XRE 300,Honda,2014,2014,Aprovado
2,2023-07-31,2023-07-31,CG 150 TITAN-ESD MIX Flex,Honda,2013,2014,Aprovado
2,2023-07-31,2023-07-31,FZ25 250 FAZER FLEX,YAMAHA,2022,2022,Aprovado
2,2023-07-31,2023-07-31,XTZ 250 LANDER 249cc,YAMAHA,2013,2013,Aprovado
2,2023-07-31,2023-07-31,YBR 150 FACTOR ED,YAMAHA,2022,2023,Aprovado
73,2023-07-31,2023-08-01,"","","","",Reprovado
67,2023-07-31,2023-07-31,"","","","",Aprovado
